MARCA,ID,DESCRIPCIÓN, PRECIO , CANTIDAD 
EPSON,IMEPT22,(C11CA83211) IMPRESORA EPSON STYLUS T22,455.40,100
EPSON,IMEPT50,(C11CA45212) IMPRESORA EPSON STYLUS PHOTO T50,"2,300.61",50
EPSON,IMEPTX130,(C11CB54202/C11CB544202) IMPRESORA STYLUS MULTIFUNCIOANL TX130  5760 X 1440 DPI USB,656.30,100
SAMSUNG,IMSA2165W,"(ML-2165W) IMPRESORA SAMSUNG ML-2165W M,ONOCROMATICA 20PPM INALAMBRICA",935.11,50
SAMSUNG,IMSA3185,(CLX3185) MULTIFUNCIONAL SAMSUNG LASER  COLOR 4/17PPM NGR/1200DPI,"3,871.84",51
SAMSUNG,IMSA3310,(ML-3310ND) IMPRESORA SAMSUNG LASER ML3310ND 33 PPM 1200 X,"2,737.41",101
SAMSUNG,IMSA365W,"(CLP365W) IMP. SAMSUNG CLP-365W LASER COLOR  19 PPM NEG/ 4 PPM COLOR WIRELESS, USB","2,004.12",51
SAMSUNG,IMSAML2165,"(ML2165) IMPRESORA LASER SAMSUNG  ML-2165, MONO 1200x1200 dpi, 21PPM",592.97,52
SAMSUNG,IMSASCX3405,(SCX3405)  MULTIFUNCIONAL LASER 21PP/1200X1200/4800 USB MEMORIA 64MB,"1,321.15",102
HP,IMHP1102W,"(CE658A) IMPRESORA HP LASERJET PRO P1102W 19PPM 8MB WIFI, HP E-PRINT, APPLE AIR-PRINT,","1,177.00",52
HP,IMHP114,"(CQ811A) E-ALL-IN-ONE HP ENVY 114 30/25 PPM WIRELESS SE CONECTA A LA WEB, PANTALLA TACTIL","1,789.00",53
HP,IMHP2050,-NRS- (CH350C) MULTIFUNCIONAL HP 2050 DESKJET 20N/16C PPM,579.00,103
HP,IMHP3680,(CB071A) MUTIFUNCIONAL HP OFFICEJET 3680 BOND,967.95,53
HP,IMHP4000,(CQ780A) IMPRESORA HP OFFECEJET 4000,521.25,54
HP,IMHP4500,-NRS-(CM753A) MULTIFUNCIONAL OFFICEJET HP 4500,719.00,104
