id,categoria,nombre,detalle.procesador,detalle.chipset,detalle.sistema operativo,detalle.memoria,detalle.almacenamiento,detalle.software,detalle.bateria,detalle.pantalla,detalle.dimensiones,detalle.precio,detalle.imagen
as5736z-4799,computadora,as5736z-4799,"procesador intel® pentium® dual core t4500 (2.3ghz/1mb l2/800mhz fsb, i64)",chipset intel® gl40 express,windows® 7 home premium 64bit,2 gb ram (2048/0) ddriii-667,video intel® graphics media accelerator 4500m,"acer erecovery management, adobe® flash® player 10.1, adobe® reader® 9.1, esobi™, google toolbar™, microsoft® office starter 2010, norton™ online backup, mcafee® internet security suite trial, mywinlocker®, cyberlink® powerdvd™, nti media maker™, oberon gamezone, acer crystal eye, microsoft® silverlight™, skype™, windows live™ essentials — wave 3.2 (mail, photo gallery, live™ messenger, movie maker, writer) acer identity card, acer registration, acer updater, ebay® shortcut 2009",batería 6 celdas li-ion. adaptador de corriente ac de 65w,"pantalla de 15.6"" hd tft (1366x768) acer cinecrystal™","381mm ancho x 253mm largo x 25/34mm altura, 2.6kg",500,as5736z-4799.jpg
as4738z-4196,computadora,as4738z-4196,"procesador intel® pentium® dual core p6100 (2.0ghz/3mb l3/1066mhz fsb, i64)",chipset intel® hm55 express,windows® 7 home premium 64bit,3 gb ram (2048/1024) ddriii-667,video intel® graphics hd,"acer erecovery management, adobe® flash® player 10.1, adobe® reader® 9.1, esobi™, microsoft® office starter 2010, norton™ online backup, mcafee® internet security suite trial, mywinlocker®, cyberlink® powerdvd™, nti media maker™, oberon gamezone, acer crystal eye, microsoft® silverlight™, skype™, windows live™ essentials — wave 3.2 (mail, photo gallery, live™ messenger, movie maker, writer) acer identity card, acer registration, acer updater, ebay® shortcut 2009",batería 6 celdas li-ion. adaptador de corriente ac de 65w,"pantalla de 14"" hd (1366x768) acer cinecrystal™","342mm ancho x 249mm largo x 28.5/33.5mm altura, 2.2kg",456,as4738z-4196.jpg
as4738z-4650,computadora,as4738z-4650,"procesador intel® pentium® dual core p6100 (2.0ghz/3mb l3/1066mhz fsb, i64)",chipset intel® hm55 express,windows® 7 home premium 64bit,3 gb ram (2048/1024) ddriii-667,video intel® graphics hd,"acer erecovery management, adobe® flash® player 10.1, adobe® reader® 9.1, esobi™, microsoft® office starter 2010, norton™ online backup, mcafee® internet security suite trial, mywinlocker®, cyberlink® powerdvd™, nti media maker™, oberon gamezone, acer crystal eye, microsoft® silverlight™, skype™, windows live™ essentials — wave 3.2 (mail, photo gallery, live™ messenger, movie maker, writer) acer identity card, acer registration, acer updater, ebay® shortcut 2009",batería 6 celdas li-ion. adaptador de corriente ac de 65w,"pantalla de 14"" hd (1366x768) acer cinecrystal™","342mm ancho x 249mm largo x 28.5/33.5mm altura, 2.2kg",762,as4738z-4650.jpg
as4738z-4520,computadora,as4738z-4520,"procesador intel® pentium® dual core p6100 (2.0ghz/3mb l3/1066mhz fsb, i64)",chipset intel® hm55 express,windows® 7 home premium 64bit,3 gb ram (2048/1024) ddriii-667,video intel® graphics hd,"acer erecovery management, adobe® flash® player 10.1, adobe® reader® 9.1, esobi™, microsoft® office starter 2010, norton™ online backup, mcafee® internet security suite trial, mywinlocker®, cyberlink® powerdvd™, nti media maker™, oberon gamezone, acer crystal eye, microsoft® silverlight™, skype™, windows live™ essentials — wave 3.2 (mail, photo gallery, live™ messenger, movie maker, writer) acer identity card, acer registration, acer updater, ebay® shortcut 2009",batería 6 celdas li-ion. adaptador de corriente ac de 65w,"pantalla de 14"" hd (1366x768) acer cinecrystal™","342mm ancho x 249mm largo x 28.5/33.5mm altura, 2.2kg",500,as4738z-4520.jpg
as4552-3950,computadora,as4552-3950,procesador amd athlon™ ii dual-core mobile p340 (2.2ghz/1mb l2 cache/ 1066 mhz),chipset amd m880g,windows® 7 home basic 64bit,2 gb ram (2048/0) ddriii-667,video ati radeon™ hd 4250 hasta 256mb (uma),"acer erecovery management, adobe® flash® player 10.1, adobe® reader® 9.1, esobi™, microsoft® office starter 2010, norton™ online backup, mcafee® internet security suite trial, mywinlocker®, cyberlink® powerdvd™, nti media maker™, oberon gamezone, acer crystal eye, microsoft® silverlight™, skype™, windows live™ essentials — wave 3.2 (mail, photo gallery, live™ messenger, movie maker, writer) acer identity card, acer registration, acer updater, ebay® shortcut 2009",batería 6 celdas li-ion. adaptador de corriente ac de 65w,"pantalla de 14"" hd (1366x768) acer cinecrystal™","342mm ancho x 249mm largo x 28.5/33.5mm altura, 2.2kg",450,as4552-3950.jpg
as4333-2249,computadora,as4333-2249,"procesador intel® celeron® m900 (1 mb l2 cache, 2.2ghz, 800 mhz fsb), i64",chipset intel® gl40 express,windows® 7 starter,1 gb ram (1024/0) ddriii-667,video intel® graphics media accelerator 4500m,"acer erecovery management, adobe® flash® player 10.1, adobe® reader® 9.1, esobi™, google toolbar™, microsoft® office starter 2010, norton™ online backup, mcafee® internet security suite trial, mywinlocker®, cyberlink® powerdvd™, nti media maker™, oberon gamezone, acer crystal eye, microsoft® silverlight™, skype™, windows live™ essentials — wave 3.2 (mail, photo gallery, live™ messenger, movie maker, writer), acer identity card, acer registration, acer updater, ebay® shortcut 2009",batería 6 celdas li-ion. adaptador de corriente ac de 65w,"pantalla de 14"" hd (1366x768) acer cinecrystal™","342mm ancho x 249mm largo x 28.5/33.5mm altura, 2.2kg",450,as4333-2249.jpg
as5742z-4326,computadora,as5742z-4326,"procesador intel® pentium® dual core p6100 (2.0ghz/3mb l3/1066mhz fsb, i64)",chipset intel® hm55 express,windows® 7 home premium 64bit,3 gb ram (2048/1024) ddriii-667,video intel® graphics hd,"acer erecovery management, adobe® flash® player 10, adobe® reader® 9.1, esobi™, google toolbar™, microsoft® office starter 2010, norton™ online backup, mcafee® internet security suite trial, mywinlocker®, cyberlink® powerdvd™, nti media maker™, oberon gamezone, acer crystal eye, microsoft® silverlight™, skype™, windows live™ essentials — wave 3.2 (mail, photo gallery, live™ messenger, movie maker, writer), acer identity card, acer registration, acer updater, ebay® shortcut 2009",batería 6 celdas li-ion. adaptador de corriente ac de 65w,"pantalla de 15.6"" hd tft (1366x768) acer cinecrystal™ con diseño super-slim","381mm ancho x 253mm largo x 25/34mm altura, 2.6kg",450,as5742z-4326.jpg
as3820t-5464,computadora,as3820t-5464,"procesador intel® core™ i5-460m (2.53 ghz, con turbo boost hasta 2.8 ghz /3mb l3/1066 mhz), i64",chipset intel® hm55 express,windows® 7 home premium 64bit,4 gb ram (2048/2048) ddriii-667,video intel® graphics hd,"acer erecovery management, adobe® flash® player 10, adobe® reader® 9.1, esobi™, google toolbar™, microsoft® office trial (service pack 2), microsoft® works 8.5, norton™ online backup, mcafee® internet security suite 2009 trial, mywinlocker® multimedia, acer arcade™ deluxe, nti media maker™, oberon gamezone, acer crystal eye, microsoft® silverlight™, skype™, windows live™ essentials — wave 3.2 (mail, photo gallery, live™ messenger, movie maker, writer), acer identity card, acer registration, acer updater, ebay® shortcut 2009",batería 6 celdas li-ion con duración de hasta 8 horas. adaptador de corriente ac de 65w,"pantalla de 13.3"" hd acer cinecrystal™ (1366 x 768), diseño super-slim","324mm ancho x 235mm largo x 22/28.9 mm altura, 1.8kg",450,as3820t-5464.jpg
as4745z-4297,computadora,as4745z-4297,"procesador intel® pentium® dual core p6100 (2.0ghz/3mb l3/1066mhz fsb, i64)",chipset intel® hm55 express,windows® 7 home premium 64bit,3 gb ram (2048/1024) ddriii-1066,video intel® graphics hd,"acer powersmart manager, acer erecovery management, adobe® flash® player 10, adobe® reader® 9.1, esobi™, google™ setup, google toolbar™, microsoft® office trial (service pack 2), microsoft® works 8.5, norton™ online backup security, mcafee® internet security suite 2009 trial, mcafee® virus, mywinlocker® multimedia, acer arcade™ deluxe, nti media maker™, oberon gamezone acer edition, wildtangent® acer edition, acer crystal eye, microsoft® silverlight™, skype™, windows live™ essentials — wave 3.2 (mail, photo gallery, live™ messenger, movie maker, writer), acer identity card, acer registration, acer updater, ebay® shortcut 2009",batería 6 celdas li-ion. adaptador de corriente ac de 65w,"pantalla de 14"" tft wxga (1366x768) acer cinecrystal™","342mm ancho x 245mm largo x 25.5/29.87mm altura, 2.2kg",450,as4745z-4297.jpg
as4745-7509,computadora,as4745-7509,"procesador intel® core™ i3-370m (2.4 ghz/3mb l3/1066 mhz), i64",chipset intel® hm55 express,windows® 7 home premium 64bit,3 gb ram (2048/1024) ddriii-1066,video intel® graphics media accelerator hd,"acer powersmart manager, acer erecovery management, adobe® flash® player 10, adobe® reader® 9.1, esobi™, google™ setup, google toolbar™, microsoft® office trial (service pack 2), microsoft® works 8.5, norton™ online backup security, mcafee® internet security suite 2009 trial, mcafee® virus, mywinlocker® multimedia, acer arcade™ deluxe, nti media maker™, oberon gamezone acer edition, wildtangent® acer edition, acer crystal eye, microsoft® silverlight™, skype™, windows live™ essentials — wave 3.2 (mail, photo gallery, live™ messenger, movie maker, writer), acer identity card, acer registration, acer updater, ebay® shortcut 2009",batería 6 celdas li-ion. adaptador de corriente ac de 65w,"pantalla de 14"" tft wxga (1366x768) acer cinecrystal™","342mm ancho x 245mm largo x 25.5/29.87mm altura, 2.2kg",450,as4745-7509.jpg
